Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamStandard Chartered PLC,Bedrag in euro's28.521.276
BedrijfsnaamStatkraft AS,Bedrag in euro's18.149.110
BedrijfsnaamStedin Holding NV,Bedrag in euro's40.952.194
BedrijfsnaamStryker Corp,Bedrag in euro's38.037.919
BedrijfsnaamSumitomo Mitsui Financial Group Inc,Bedrag in euro's28.675.423
BedrijfsnaamSvenska Handelsbanken AB,Bedrag in euro's69.821.368
BedrijfsnaamSwiss Life Finance I Ltd,Bedrag in euro's18.852.550
BedrijfsnaamSwisscom Finance BV,Bedrag in euro's77.103.423
BedrijfsnaamSydney Airport Finance Co Pty Ltd,Bedrag in euro's59.704.787
BedrijfsnaamSyensqo SA,Bedrag in euro's19.745.911
BedrijfsnaamT-Mobile USA Inc,Bedrag in euro's2.153.608
BedrijfsnaamTAG Immobilien AG,Bedrag in euro's11.225.854
BedrijfsnaamTakeda Pharmaceutical Co Ltd,Bedrag in euro's71.198.430
BedrijfsnaamTele2 AB,Bedrag in euro's17.978.370
BedrijfsnaamTelefonica Emisiones SAU,Bedrag in euro's40.909.848
BedrijfsnaamTelenor ASA,Bedrag in euro's54.406.427
BedrijfsnaamTeleperformance SE,Bedrag in euro's46.947.467
BedrijfsnaamTelia Co AB,Bedrag in euro's20.159.663
BedrijfsnaamTenneT Holding BV,Bedrag in euro's113.522.716
BedrijfsnaamTerega SA,Bedrag in euro's18.452.633
BedrijfsnaamTerna - Rete Elettrica Nazionale,Bedrag in euro's87.363.113
BedrijfsnaamTesco Corporate Treasury Services PLC,Bedrag in euro's83.891.626
BedrijfsnaamTimken Co/The,Bedrag in euro's32.067.498
BedrijfsnaamToronto-Dominion Bank/The,Bedrag in euro's54.473.830
BedrijfsnaamToyota Finance Australia Ltd,Bedrag in euro's11.986.779
BedrijfsnaamToyota Motor Credit Corp,Bedrag in euro's22.178.073
BedrijfsnaamToyota Motor Finance Netherlands BV,Bedrag in euro's59.714.978
BedrijfsnaamTransmission Finance DAC,Bedrag in euro's20.565.007
BedrijfsnaamTransurban Finance Co Pty Ltd,Bedrag in euro's75.591.731
BedrijfsnaamTyco Electronics Group SA,Bedrag in euro's26.430.617
BedrijfsnaamUBS AG/London,Bedrag in euro's46.562.422
BedrijfsnaamUBS Group AG,Bedrag in euro's78.466.641
BedrijfsnaamUnilever Capital Corp,Bedrag in euro's27.651.997
BedrijfsnaamUnilever Finance Netherlands BV,Bedrag in euro's55.919.884
BedrijfsnaamUnited Parcel Service Inc,Bedrag in euro's22.962.271
BedrijfsnaamUniversal Music Group NV,Bedrag in euro's24.989.998
BedrijfsnaamUpjohn Finance BV,Bedrag in euro's16.118.504
BedrijfsnaamUPM-Kymmene OYJ,Bedrag in euro's24.280.784
BedrijfsnaamVattenfall AB,Bedrag in euro's29.287.555
BedrijfsnaamVeolia Environnement SA,Bedrag in euro's31.762.868
